TTFB,TTI,FREQ
1321,6875,121066
1323,6846,120859
1326,6874,120354
1324,6857,120349
1325,6887,120051
1327,6859,119990
1329,6823,119623
1328,6890,118991
1330,6857,118972
1332,6833,118662
1331,6839,118203
1335,6839,117442
1334,6836,117380
1333,6874,117184
1337,6840,117111
1336,6868,116958
1339,6827,116761
1338,6851,116639
1340,6845,116638
1341,6838,116410
1347,6853,116041
1343,6851,116026
1344,6857,115920
1342,6869,115582
1345,6832,115320
1352,6873,115190
1346,6867,115148
1349,6864,115017
1348,6864,115004
1350,6878,114753
1353,6892,114707
1351,6879,114525
1356,6849,114132
1358,6872,113850
1355,6867,113560
1357,6873,113493
1354,6882,113459
1361,6856,113403
1359,6852,113015
1362,6888,112893
1364,6880,112842
1360,6881,112635
1363,6887,112293
1367,6877,112192
1365,6882,112054
1370,6910,111940
1366,6882,111842
1369,6857,111681
1368,6894,111463
1372,6894,111377
1375,6844,111325
1371,6856,111241
1382,6889,110896
1376,6868,110756
1378,6877,110665
1374,6894,110634
1379,6911,110273
1377,6879,110257
1373,6867,110174
1380,6897,110070
1384,6884,109628
1381,6886,109594
1383,6905,109024
1385,6907,108959
1386,6893,108942
1388,6907,108847
1387,6905.5,108782
1390,6879,108772
1389,6894,108660
1391,6923,108618
1393,6877,108519
1394,6912,108296
1392,6920,108229
1396,6903,107683
1395,6923,107605
1398,6923,107328
1397,6928,107022
1401,6929,106664
1404,6968,106602
1402,6927,106567
1399,6937,106381
1405,6914,106252
1407,6934,106215
1400,6924,106025
1406,6928,105977
1408,6956,105633
1403,6906.5,105612
1410,6930,105341
1409,6896,105331
1414,6908.5,105306
1416,6949,105083
1415,6924,104937
1412,6949,104904
1411,6924,104884
1413,6924,104788
1420,6949,104564
1417,6939,104469
1419,6944,104036
1424,6916,104018
1422,6978,103968
1418,6921,103927
1423,6949,103611
1421,6935,103274
1430,6957,103191
1427,6990,103188
1425,6976,103050
1428,6969,102964
1434,6973,102692
1432,6995,102624
1429,6964,102557
1433,6980,102514
1426,6943,102341
1431,6975,102054
1435,6991,102048
1440,7006,101946
1436,6989,101688
1437,6963,101163
1438,7006,101152
1439,6959,101059
1444,7006,101036
1442,6980,100887
1448,6974,100884
1441,6949,100879
1445,6976,100733
1447,6960,100386
1443,6987,100341
1449,6996,100205
1450,6999,100189
1446,6979,100091
1451,7000,99971
1452,7001,99943
1453,7011,99335
1456,7005,99206
1455,6991,99104
1454,7006.5,98780
1459,6998,98488
1457,7010,98463
1458,6999.5,98440
1464,7044,98438
1460,7028,98340
1461,7005,98285
1482,6930,98245
1465,6981,98090
1462,7024,98077
1466,7014,98070
1463,7005,97803
1470,7019,97728
1467,7058,97661
1468,7034,97546
1469,7020.5,97076
1471,7052,96907
1472,7048,96801
1474,7050,96744
1476,7040,96707
1478,7031.5,96590
1475,7051,96441
1477,7058,96395
1480,7035,96369
1479,7036,96326
1473,7026,96307
1484,7096,96160
1481,7023,95760
1483,7074,95571
1488,7075,95380
1487,7070,95283
1486,7023,95233
1485,7070,95195
1489,7061,94806
1493,7066,94763
1490,7053,94500
1491,7098,94414
1496,7071,94347
1494,7040,94341
1492,7038,94275
1500,7046,94021
1495,7040,94016
1498,7076,93949
1501,7091,93790
1497,7081,93443
1499,7076,93312
1502,7109,93259
1503,7065.5,93146
1505,7106,93080
1506,7094,93030
1504,7064,92938
1507,7099,92368
1508,7089,92342
1516,7144,92294
1513,7130,92223
1509,7107,92149
1520,7111,91908
1518,7076,91897
1510,7130,91802
1511,7077,91730
1514,7107,91721
1512,7110,91704
1515,7110,91563
1517,7072,91174
1519,7113,90906
1522,7175,90808
1521,7066,90687
1526,7119,90519
1528,7128,90487
1525,7103,90384
1524,7133,90329
1527,7097,90291
1532,7152,90225
1530,7102,90181
1523,7071,90149
1529,7126,90126
1533,7122,89750
1531,7140,89514
1534,7136,89475
1535,7116,89376
1539,7142,89156
1540,7149,89156
1536,7080,89119
1537,7157,88644
1541,7156,88587
1538,7159,88494
1546,7165,88478
1544,7116,88311
1542,7159.5,88192
1543,7161,88018
1548,7124,88003
1550,7192,87773
1552,7161,87662
1549,7126.5,87654
1551,7138,87616
1547,7149,87583
1554,7129,87186
1545,7133,87149
1560,7179,87053
1553,7106,86870
1555,7176,86758
1557,7149,86647
1559,7148,86531
1556,7163,86527
1572,7126,86493
1562,7165,86356
1561,7164,86076
1566,7169,86042
1558,7161,85970
1564,7209,85920
1563,7173,85516
1567,7165,85425
1570,7182,85249
1568,7166,85215
1565,7173,85181
1575,7187.5,84896
1569,7149,84842
1579,7205,84792
1580,7222,84776
1578,7232,84768
1573,7223,84745
1576,7210,84635
1582,7211,84627
1571,7181,84608
1584,7186.5,84538
1574,7216,84476
1581,7215,84380
1585,7218,84061
1577,7175,84015
1586,7223.5,83972
1587,7222,83753
1588,7222,83671
1583,7205,83626
1592,7234,83431
1591,7272,83264
1589,7244,83013
1594,7267.5,82984
1593,7246,82911
1595,7212,82752
1590,7257,82672
1596,7235,82583
1599,7235.5,82496
1598,7212,82401
