IMAGE_SIZE,TTI,FREQ
15860,2687.500,10960
535754,3328.500,10956
9268,574.000,10949
32965,9577.000,10949
5471,4038.500,10938
30806,6409.000,10922
10002,7126.500,10922
1421773,10108.000,10921
456196,33319.000,10914
13296,6819.000,10912
524776,3985.000,10894
826086,5231.000,10890
23333,21144.000,10880
7460,9867.000,10877
52835,2082.000,10874
353441,5340.500,10858
1214,11295.000,10839
16116,7462.500,10838
110376,3064.000,10833
11063,6449.000,10829
93826,4970.000,10823
193183,2762.000,10823
25779,3969.000,10815
34613,5770.000,10813
132627,5302.000,10785
544602,5300.500,10780
29728,4825.000,10775
35282,4097.000,10754
14088,4437.000,10729
119729,8202.000,10710
370101,3281.500,10704
29810,10023.000,10703
683614,3189.000,10700
4225,4865.500,10696
543251,13725.500,10692
1562957,3665.000,10687
11256,2947.000,10684
2934,9339.000,10684
226288,4147.000,10682
180840,6088.000,10677
1861201,6286.500,10672
130150,4180.000,10669
29137,6058.500,10668
57004,6045.000,10665
269736,7129.000,10663
261357,4181.000,10663
787723,4593.000,10643
17403,8530.500,10626
83475,8750.000,10597
62567,2664.000,10573
64984,3190.000,10565
130805,10272.000,10549
6798,8461.000,10546
1203846,3806.000,10529
2702706,12186.500,10528
249371,7475.000,10498
18029,5029.000,10496
1695045,3676.000,10489
288401,6719.000,10484
27231,12113.000,10471
304565,4357.500,10470
69300,4859.000,10455
126350,8278.000,10447
6031,5305.000,10446
41519,2031.000,10443
129,4815.000,10441
1563166,4456.500,10420
540930,6057.000,10401
6503,4263.000,10399
331918,9415.000,10394
495010,5282.000,10391
498400,3832.000,10382
7467,8373.500,10370
692416,5097.500,10368
4279,2899.000,10367
723906,7511.000,10363
3337,4030.000,10363
519,3631.000,10341
33897,6689.000,10328
230750,26695.500,10324
627989,7901.000,10313
50450,3364.500,10300
4936,9547.000,10299
4290155,6341.000,10297
3667,6848.000,10296
22577,4691.000,10295
11342,4214.000,10283
30338,8886.000,10278
4169,10436.000,10271
210812,3331.000,10268
453220,5647.000,10265
237698,3695.000,10232
727783,5682.000,10230
5318,3491.500,10212
1414923,4232.000,10212
63397,5228.000,10208
7603,10077.000,10201
11159123,4247.500,10198
176507,6888.000,10195
205879,3690.000,10184
246159,10059.000,10183
26054,4950.000,10172
9523,5437.000,10172
19027,4089.500,10172
8339,4327.000,10165
141212,1848.000,10164
34552,5134.500,10150
345177,7543.500,10148
972,4560.000,10120
