DOM_SIZE,TTI,FREQ
1858,6867.5,126920
719,5636,126813
602,4753,126805
682,5319,126796
2284,5863,126774
1681,6078,126764
675,4765,126738
329,6536,126697
1702,5849,126521
1773,5968,126486
1782,6019,126450
721,5884,126450
481,5826,126429
687,5122,126421
673,4688,126379
300,7282,126348
683,5161,126303
1670,6063,126292
1902,6051,126203
1819,6139,126167
327,7774,126057
790,4772,126019
760,4853,126017
492,5302,125996
2283,5686,125996
801,4768,125911
1769,6073,125891
621,4375,125823
1810,6075,125766
483,5254,125705
458,6156,125693
757,4923,125615
823,4737,125613
1679,6087,125581
552,5163,125552
1872,5434,125448
1756,5821,125313
726,5849,125296
713,5378,125200
1764,5777.5,125172
1673,6108,125071
2058,5500,125052
1899,5497,125048
688,5124,125045
1737,5999,124969
729,5747,124915
218,5579,124887
1821,6420,124865
214,8532,124855
764,5170,124826
1849,6099,124797
770,5003,124769
529,3924,124732
1945,5730,124730
803,4723,124723
1843,6521,124658
606,4827,124657
1924,6323,124576
1715,6068,124510
1852,5920,124479
1754,5855,124470
333,5391,124388
1666,6183,124352
457,5740,124347
1772,6061,124278
825,4603,124224
445,5988,124215
1727,5836,124198
557,4599,124145
739,5495,124113
732,5604,124055
1730,5668,124024
1941,5770,123951
702,4553,123940
1929,5863,123928
436,6052,123908
1856,6577,123898
297,5333,123866
619,5129,123858
667,4861,123854
826,4555,123853
1923,6167,123843
456,5853,123812
591,4699,123727
759,4723,123718
455,6006,123646
1851,5917,123637
727,5940,123631
710,5020,123522
1747,5817,123511
1765,5872,123488
1903,5843,123487
1780,6083,123461
1726,6014,123428
750,4704,123422
617,5020,123406
1779,6040,123397
566,4560,123175
1944,5671,123043
574,5145,123004
1855,6512,122997
1713,6081,122961
807,4679,122883
1854,6243,122708
765,5042,122679
740,5507,122615
592,4701,122612
1920,5569,122595
755,5060,122577
1798,6168,122567
556,4579.5,122562
703,4711,122515
227,4104,122500
1812,5992,122475
610,4939,122459
720,5823,122453
1922,5958,122436
737,5313,122423
1671,6088,122412
1940,5765,122353
2285,5841,122333
1900,5241,122318
1827,6150,122304
338,4704,122270
570,4764,122244
1682,6222,122239
1672,6183,122195
561,4822,122187
1677,5735,122098
704,4772,122086
437,6074,122055
1948,5829,122051
802,4786,121995
1732,5858,121940
1830,6094,121789
1949,5898,121786
1951,5710,121702
486,5499,121611
1825,5987,121543
1675,5774,121513
595,4670,121466
754,4856,121426
623,4435,121394
731,5841,121117
1853,6069,121078
1850,5968,121067
1674,5974,121002
612,4967,120967
1794,5873,120920
1736,6159,120895
611,5062,120861
1907,5391,120801
670,4721,120771
614,5180,120729
1935,5853,120688
1908,5393,120638
1802,6163,120635
2266,5543,120610
1815,6212,120575
1901,5817,120575
1980,6656,120546
700,4723,120501
1676,5979,120491
491,5025,120476
147,3068,120453
1921,5625,120380
1925,5923,120041
572,5125,120033
1797,5875,120033
549,5089,120004
2222,5700.5,119978
1873,5685,119971
1800,5846,119953
1680,6030,119933
1763,5729,119901
753,4837,119852
1806,6432,119676
2896,4159,119627
1909,5504,119621
1866,5689.5,119610
1751,5890,119590
1871,5589,119492
672,4808,119492
1876,6057,119489
1875,5731,119409
1840,6012,119405
1844,6052,119400
1788,6054,119366
1761,5896,119353
562,4868,119328
488,6142,119251
1906,5491,119239
2046,6424,119167
758,4861,119059
609,4972,119055
1829,6062,119045
674,4700,119009
1928,5795,118978
269,5385,118845
1793,5949,118839
1860,6614.5,118830
1947,5697,118751
565,4294,118719
1755,5876,118659
533,4726,118620
573,5076,118613
1910,5459,118577
1808,6066,118562
738,5615,118479
824,4833,118363
1842,6032,118334
752,4786,118231
396,6331,118209
1790,5828,118172
2718,4400,118071
1918,5543,117979
111,1968,117976
1841,6148,117969
1914,5511,117939
485,5443,117937
1753,5815,117890
569,4883,117873
273,5063,117812
624,4896,117786
1710,5837,117692
608,4911.5,117598
1801,6158,117570
1823,6195,117563
1926,5793,117497
2860,4087,117368
746,5104,117360
1831,6139,117349
1734,5968,117344
1809,6242,117303
1813,6321,117243
1785,6134,117242
1955,5988,117241
1783,6044,117204
1796,6117,117175
298,6431,117154
1822,6258,117112
1905,5549,117076
26,1746,117072
1805,6118,117069
1784,6236,117067
1711,6119,117011
