"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","8200","6799.032612334","1505","2.456","1","1","3","1.659","0.799770546","4037","8150.0","99","32","156","2.575","4037","2043","10077","51.88","2.6","8.1 - 8.2 s","0.3728015853356453","0.44652081699818036","5"
"article","Desktop","0","8300","7063.990605398","1475","2.275","1","1","2","1.663","0.79801805","3869","8250.0","78","32","150","2.531","3869","1942","9533","51.23","2.5","8.2 - 8.3 s","0.3812354613595244","0.44652081699818036","5"
"article","Desktop","0","8400","6938.521791347","1374","2.33","1","1","2","1.671","0.801071608","3624","8351.0","72","32","161","2.554","3624","1813","9058","51.04","2.68","8.3 - 8.4 s","0.3791390728476821","0.44652081699818036","5"
"article","Desktop","0","8500","7247.383385987","1286","2.229","1","1","2","1.639","0.808098653","3523","8450.0","52","34","150","2.453","3523","1809","8503","52.12","2.5","8.4 - 8.5 s","0.3650298041441953","0.44652081699818036","5"
"article","Desktop","0","8600","7234.766306418","1293","2.304","1","1","3","1.629","0.800212834","3438","8551.0","67","36","172","2.496","3438","1761","8350","52.24","2.87","8.5 - 8.6 s","0.3760907504363002","0.44652081699818036","5"
"article","Desktop","0","8700","7618.56838337","1223","2.38","1","1","3","1.645","0.806353637","3365","8651.0","74","33","152","2.51","3365","1758","8314","53.42","2.53","8.6 - 8.7 s","0.36344725111441306","0.44652081699818036","5"
"article","Desktop","0","8800","7511.029067889","1199","2.453","1","1","3","1.645","0.80037264","3225","8750.0","73","34","158","2.558","3225","1653","8043","52.44","2.63","8.7 - 8.8 s","0.3717829457364341","0.44652081699818036","5"
"article","Desktop","0","8900","7978.126291983","1168","2.41","1","1","3","1.618","0.807718369","3225","8852.0","63","33","151","2.491","3225","1705","7833","53.92","2.52","8.8 - 8.9 s","0.3621705426356589","0.44652081699818036","5"
"article","Desktop","0","9000","7925.280006034","1097","2.407","1","1","2","1.594","0.807998328","3048","8950.0","70","32","143","2.46","3048","1602","7273","53.79","2.38","8.9 - 9.0 s","0.3599081364829396","0.44652081699818036","5"
"article","Desktop","0","9100","8228.948131435","1125","2.451","1","1","3","1.66","0.801230115","3027","9050.0","65","33","161","2.571","3027","1576","7548","53.21","2.68","9.0 - 9.1 s","0.37165510406342916","0.44652081699818036","5"
"article","Desktop","0","9200","7939.557498597","1025","2.591","1","1","3","1.665","0.807019728","2847","9149.0","78","33","162","2.598","2847","1515","7160","54.71","2.7","9.1 - 9.2 s","0.36002809975412714","0.44652081699818036","5"
"article","Desktop","0","9300","8429.184407603","995","2.406","1","1","3","1.621","0.810103526","2789","9250.0","55","34","153","2.479","2789","1485","6727","54.32","2.55","9.2 - 9.3 s","0.3567586948727142","0.44652081699818036","5"
"article","Desktop","0","9400","8149.198087645","910","2.416","1","1","3","1.606","0.809234426","2598","9352.0","65","34","151","2.452","2598","1386","6192","54.72","2.52","9.3 - 9.4 s","0.35026943802925325","0.44652081699818036","5"
