DEVICETYPENAME,JS_SIZE,TTI,FREQ
Desktop,3150000,8595.500,1574
Desktop,4640000,7050.000,1566
Desktop,2460000,7312.000,1564
Desktop,2060000,5887.500,1550
Desktop,2520000,5765.500,1542
Tablet,1150000,15828.000,1535
Mobile,1650000,9703.500,1496
Mobile,2650000,23828.000,1454
Desktop,1710000,6846.000,1439
Desktop,2190000,6683.500,1436
Desktop,2470000,6109.000,1429
Desktop,3990000,10995.000,1421
Mobile,2880000,18895.500,1400
Mobile,2150000,16721.500,1396
Desktop,2620000,7279.000,1380
Desktop,2150000,6548.000,1372
Desktop,2710000,7359.000,1367
Mobile,2850000,16350.500,1360
Mobile,1740000,8962.500,1358
Mobile,1630000,6307.000,1358
Desktop,2440000,6831.000,1356
Desktop,4310000,9621.000,1335
Desktop,2180000,7144.000,1324
Tablet,1850000,12837.000,1321
Desktop,5760000,5921.000,1305
Tablet,1200000,13366.000,1305
Desktop,2450000,8248.000,1299
Desktop,2770000,9390.500,1298
Tablet,1120000,18018.000,1291
Desktop,2810000,8126.000,1284
Tablet,1300000,15973.000,1272
Tablet,1970000,17744.500,1254
Desktop,2560000,8128.000,1249
Desktop,4000000,11712.000,1229
Desktop,2320000,6555.000,1229
Tablet,1840000,12109.000,1197
Tablet,1960000,16901.000,1197
Desktop,2820000,9637.000,1195
Desktop,3130000,8855.000,1184
Mobile,2600000,21938.000,1182
Desktop,2270000,6323.500,1180
Desktop,3790000,11480.000,1179
Desktop,2590000,7253.000,1155
Desktop,4120000,10924.000,1132
Desktop,5960000,7312.000,1123
Desktop,4110000,10769.500,1108
Mobile,2580000,21297.500,1106
Tablet,1160000,14525.000,1096
Tablet,1440000,17805.500,1044
Desktop,3140000,7574.000,1041
Desktop,2220000,7001.000,1029
Desktop,2170000,6643.500,1028
Desktop,4330000,9967.000,1020
Tablet,1550000,10628.000,995
Desktop,2690000,7307.000,984
Desktop,2930000,8396.500,974
Desktop,2490000,6253.000,960
Mobile,2480000,20091.500,954
Desktop,2780000,6256.500,952
Desktop,2660000,8145.500,932
Desktop,2310000,7012.500,922
Desktop,3020000,7627.000,913
Desktop,5750000,5697.000,911
Desktop,2890000,6771.500,896
Desktop,2960000,9958.000,892
Desktop,2160000,6702.000,889
Desktop,2340000,7264.000,885
Mobile,2170000,15791.000,885
Mobile,2770000,17656.000,879
Tablet,1530000,13495.000,873
Mobile,2320000,8604.000,869
Tablet,1270000,15037.500,858
Desktop,3080000,6287.000,854
Desktop,2990000,7158.000,847
Desktop,4300000,7472.500,846
Desktop,2700000,8195.500,844
Desktop,5800000,5974.000,841
Desktop,3110000,8945.000,818
Desktop,4230000,8461.000,811
Desktop,3780000,10045.500,808
Desktop,3160000,8335.000,806
Mobile,2190000,9401.000,804
Desktop,2920000,7181.000,795
Desktop,2730000,7026.500,794
Desktop,2680000,7589.000,792
Mobile,2160000,17372.500,772
Desktop,3090000,6165.500,772
Desktop,2840000,9244.000,771
Tablet,1540000,12276.000,766
Mobile,2180000,12471.000,763
Mobile,2620000,18986.000,756
Tablet,1860000,15769.500,754
Tablet,1330000,17032.000,753
Desktop,2830000,7034.000,751
Tablet,1950000,15053.000,746
Desktop,3050000,8165.000,744
Desktop,2790000,6795.000,732
Desktop,4630000,7060.000,731
Tablet,1210000,14107.500,726
Desktop,3000000,7588.000,721
Mobile,1670000,10717.000,721
Desktop,4350000,8675.500,700
Tablet,1310000,16394.000,699
Desktop,2900000,6873.000,687
Desktop,3010000,8147.000,685
Desktop,3180000,8133.500,684
Mobile,2630000,17202.000,680
Desktop,3520000,6499.000,678
Desktop,3040000,7843.000,657
Tablet,1280000,17269.500,646
Desktop,2330000,7055.000,643
Desktop,2980000,7569.500,638
Desktop,2670000,7280.500,636
Tablet,1340000,13691.500,636
Desktop,4460000,6799.000,635
Desktop,3070000,7773.000,631
Tablet,1940000,16251.000,621
Desktop,3580000,6021.500,614
Desktop,2910000,7031.000,602
