TTI,IMAGES,FREQ
2762,67.761875,54694
2751,66.591948,54694
3808,68.539777,54693
3724,68.506664,54693
2797,66.619423,54688
3839,68.875085,54685
2744,66.854105,54683
3760,68.074923,54683
3723,68.461605,54681
3815,68.197827,54679
3756,68.020392,54677
3853,68.543401,54676
3765,68.883270,54673
3736,68.884728,54662
3713,69.029713,54656
2690,66.726684,54651
3676,68.386825,54650
3734,68.557288,54645
2758,67.961331,54643
2807,67.664629,54641
2772,67.991233,54636
2774,67.219845,54634
2770,67.942893,54634
3719,68.958101,54632
3835,70.090002,54632
3729,69.420677,54631
2793,67.981347,54630
3751,69.121961,54624
3752,68.123474,54619
3801,69.103362,54614
3778,68.053140,54610
2761,67.606523,54608
2728,66.381435,54607
2788,67.735176,54606
3830,68.322107,54603
2747,67.490724,54601
3763,69.541561,54594
3862,68.772975,54580
3768,68.577721,54580
3851,68.582820,54576
2755,67.585354,54567
2757,66.912894,54566
2754,67.110052,54565
3742,67.920242,54565
3890,68.817465,54565
2745,66.920018,54562
3721,68.682741,54558
3722,68.791312,54555
2842,67.841350,54554
2736,66.599479,54554
3794,69.298973,54550
2789,68.368361,54547
2709,65.602325,54547
2731,67.375775,54546
3807,68.959245,54545
2776,68.053571,54544
3686,68.390932,54544
3758,68.566362,54534
2717,66.483441,54532
3691,68.168366,54530
3796,68.687084,54529
3779,68.844578,54529
3852,67.708553,54528
3665,68.037984,54523
2721,66.342956,54523
3738,68.336292,54521
2767,66.697781,54520
3793,69.765274,54519
3797,69.106127,54510
4035,70.075293,54507
3849,68.572789,54507
3785,69.142545,54495
3870,68.653583,54495
3709,68.284018,54486
2741,66.743209,54484
3817,68.544857,54484
3896,69.323153,54482
3816,69.123231,54475
2700,66.645360,54475
2696,66.791203,54474
2826,68.952362,54473
2824,67.761680,54473
3740,68.849067,54468
2738,67.495098,54468
3788,68.682640,54465
2714,66.100786,54462
3786,69.087841,54462
3798,69.419149,54458
2729,66.184968,54458
2712,66.333566,54457
2680,66.326827,54457
3790,68.586099,54455
2650,67.529373,54455
3745,68.973899,54442
2739,67.054849,54440
3850,68.565687,54440
3884,68.783085,54436
3818,68.468705,54433
3916,68.631956,54431
3757,68.487231,54428
2724,67.057067,54427
3762,68.517520,54423
3877,68.093418,54422
2784,67.532111,54421
3741,68.183808,54421
3759,68.687150,54419
3876,69.224562,54417
2718,67.553885,54412
3828,68.620798,54409
3775,67.720362,54406
3764,69.254660,54402
3674,68.585853,54401
3822,67.851646,54397
2740,67.277026,54392
3952,68.803703,54387
2682,66.347001,54386
3933,68.921064,54386
3735,69.497545,54385
2698,66.196569,54383
2771,67.478890,54382
3864,69.009949,54380
3832,69.357792,54378
2760,66.833621,54376
3913,68.992625,54376
2732,67.217784,54375
3823,67.870317,54371
3791,69.503504,54371
3754,69.372319,54370
3846,68.622093,54352
3811,68.813416,54351
2695,66.917877,54345
3866,68.899752,54345
2743,66.932265,54344
2668,66.161717,54342
2746,67.583961,54341
2715,66.576397,54341
3820,69.040376,54339
2769,67.437353,54336
3845,68.976165,54333
3829,68.243775,54333
2681,65.654151,54330
3889,68.235385,54328
3810,68.566335,54323
3949,68.804794,54322
2737,67.580909,54320
3795,69.172573,54319
3773,68.248417,54316
3726,69.466766,54312
3739,68.946731,54309
3744,69.494522,54307
2719,66.817825,54305
2672,65.828061,54304
3802,67.608254,54303
3755,68.083111,54301
3766,67.807776,54296
2766,67.396482,54295
3901,69.740639,54295
3803,69.144252,54294
3883,68.647125,54294
2711,67.203025,54284
2683,65.938929,54281
3855,68.742101,54277
2735,67.349516,54275
2678,66.582599,54274
2725,68.325435,54272
3844,67.666857,54271
2707,67.095911,54269
3878,69.056405,54268
2706,67.334255,54264
3826,68.142220,54261
3867,69.128090,54251
3848,68.520702,54246
3824,68.851286,54245
3920,68.818314,54242
2734,66.940010,54242
3813,68.941462,54238
3908,68.217348,54231
3900,68.275116,54228
3899,68.509535,54220
3837,68.094024,54220
3861,68.263869,54220
2765,67.154364,54216
3882,68.182150,54197
3898,68.407853,54196
3879,68.760361,54194
3799,68.518000,54193
2703,67.014227,54191
2713,66.615918,54189
3892,68.645627,54183
2694,66.592239,54169
3868,68.665221,54167
3907,68.368588,54158
3865,69.133817,54156
2704,67.197995,54153
3776,69.534579,54151
2689,67.690552,54148
3946,68.907476,54148
2701,65.980718,54144
3902,68.723824,54143
3805,68.216352,54134
3809,68.146890,54129
3771,68.608884,54122
3915,69.200961,54115
3869,68.060041,54113
3814,69.221448,54112
3812,68.162755,54112
2727,67.591979,54105
3860,68.718696,54091
2726,67.319387,54088
2710,66.128367,54087
2720,66.863329,54086
3847,69.208853,54081
2722,66.149136,54078
3859,68.160010,54078
2667,66.466092,54073
2664,67.243823,54072
3945,69.077883,54068
3838,68.496587,54063
2626,66.418419,54063
3905,68.337816,54062
3753,68.707373,54062
2702,66.394580,54060
3917,68.189733,54055
3911,68.204096,54053
3947,68.776978,54044
3966,67.841719,54043
2670,66.800751,54038
4025,70.360080,54038
3871,68.520144,54035
2649,66.032608,54035
3932,69.171864,54031
3948,68.134967,54028
3891,69.095803,54017
3875,69.118446,54016
3965,68.818266,54013
2723,66.911797,54012
3842,68.982985,54010
3856,67.985891,54009
3792,69.186398,54008
3874,69.661624,54008
3999,67.781899,54007
3919,68.685561,54001
2661,66.399189,53997
3789,68.887290,53997
2708,66.681365,53996
2663,66.766628,53991
3951,69.427529,53987
3918,68.395321,53984
2651,66.229790,53984
2691,67.904618,53983
2685,67.131674,53982
3912,68.564561,53980
3804,69.132633,53976
3982,68.925152,53976
3841,68.866015,53976
2686,66.347550,53975
3886,68.857423,53971
3836,69.893811,53970
4000,68.876902,53965
3936,68.696724,53964
3881,68.658314,53956
3964,69.468584,53954
3950,68.551103,53950
2705,66.808179,53946
2688,66.456576,53945
3930,68.604293,53944
3960,69.354077,53943
2642,66.153294,53942
3858,69.000445,53939
4002,69.618859,53938
3914,68.717109,53936
3934,69.628367,53935
3894,68.478130,53933
2654,66.439490,53933
2742,67.215854,53930
3970,69.560326,53924
4015,68.527780,53924
3996,68.472422,53920
3827,68.909988,53915
2656,67.227069,53900
3819,69.091449,53899
2655,66.630710,53898
2692,66.170878,53898
