DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Desktop,30700,32799.000,39
Mobile,34200,36138.000,39
Desktop,33100,38699.000,39
Tablet,14900,17962.000,38
Mobile,33700,36148.500,38
Tablet,14600,17550.000,38
Mobile,30600,32004.500,38
Desktop,32900,32767.500,38
Desktop,32200,33992.500,38
Tablet,14400,17545.000,38
Mobile,32100,34626.000,38
Desktop,31700,32282.500,38
Mobile,29700,30647.000,38
Tablet,15400,19317.000,38
Mobile,33000,38932.000,37
Mobile,28700,29994.000,37
Desktop,30000,31050.000,37
Tablet,14800,19281.000,37
Mobile,29300,30528.000,37
Desktop,30600,33890.000,37
Desktop,32500,33902.000,37
Desktop,33800,36343.500,36
Mobile,30400,33106.000,36
Desktop,33900,35684.000,36
Desktop,33400,36385.500,36
Mobile,31800,32907.000,36
Mobile,30200,32490.000,36
Tablet,15700,19054.500,36
Mobile,29200,31498.000,35
Desktop,30300,33017.000,35
Mobile,32200,33688.000,35
Tablet,15800,19402.000,35
Desktop,33300,36849.000,35
Mobile,33500,37052.000,35
Tablet,14500,17680.000,35
Desktop,29800,31843.000,35
Tablet,15500,18654.000,35
Desktop,34600,37973.000,35
Desktop,30800,32666.000,35
Desktop,32800,35359.000,34
Mobile,33100,36109.000,34
Desktop,35300,38135.500,34
Mobile,33400,35478.500,34
Desktop,34000,34652.500,34
Mobile,31600,33793.000,33
Desktop,35900,39210.000,33
Mobile,31300,33927.000,33
Mobile,32400,35137.000,33
Desktop,33500,35334.000,33
Mobile,34100,38059.000,33
Mobile,29900,30044.000,33
Desktop,34800,39195.000,33
Mobile,33900,36338.000,33
Mobile,35900,36424.000,33
Mobile,29000,33394.000,32
Desktop,32100,37055.500,32
Desktop,32700,33782.000,32
Desktop,34200,39087.000,32
Mobile,33600,34087.000,32
Desktop,34700,34944.500,32
Desktop,33000,38098.500,32
Desktop,30400,33875.500,32
Desktop,36600,38212.500,32
Desktop,37500,40367.000,32
Desktop,32400,37344.000,31
Mobile,32900,35710.000,31
Desktop,32600,43921.000,31
Mobile,30300,33557.000,31
Desktop,37400,40275.000,31
Mobile,32600,36621.000,31
Desktop,34900,36334.000,31
Mobile,28800,31103.000,31
Mobile,30000,32541.000,31
Desktop,33700,33504.000,31
Desktop,34500,36292.500,30
Mobile,35400,35405.500,30
Desktop,36000,37664.500,30
Desktop,35800,38882.000,30
Tablet,17700,19468.000,30
Mobile,32000,34221.500,30
Tablet,17800,20501.000,30
Mobile,35000,39141.000,29
Desktop,41700,43083.000,29
Desktop,36800,39352.000,29
Tablet,16800,20983.000,29
Desktop,34400,37348.000,29
Mobile,29500,31905.000,29
Mobile,37700,43366.000,29
Desktop,33600,38694.000,29
Desktop,41800,45458.000,29
Desktop,39900,45885.000,29
Tablet,15000,18587.000,29
Desktop,38000,39880.000,29
Desktop,41000,42555.000,29
Tablet,16000,19584.000,29
Desktop,35700,37743.000,28
Mobile,35700,39767.500,28
Desktop,37200,40497.500,28
Tablet,15600,19354.000,28
Mobile,32700,36358.000,28
Desktop,36200,39911.000,28
Tablet,16900,20877.000,28
Mobile,34300,37719.500,28
Desktop,35000,38511.500,28
Tablet,16200,18809.500,28
Mobile,33800,34897.000,27
Desktop,40500,42327.000,27
Mobile,34500,36249.000,27
Desktop,39000,41211.000,27
Tablet,16700,18651.000,27
Desktop,42900,44530.000,27
Mobile,34000,37409.000,27
Desktop,35100,38840.000,27
Tablet,16100,17964.000,27
Mobile,33200,34285.000,27
Mobile,36900,43957.500,26
Desktop,34100,38771.000,26
Tablet,18100,24395.000,26
Desktop,45300,47125.500,26
Desktop,41900,44000.000,26
Desktop,38200,44366.500,26
Mobile,37200,37311.500,26
Tablet,17200,19764.500,26
Desktop,38700,42808.000,26
Mobile,38100,42017.000,26
Mobile,36200,40140.000,26
Tablet,16500,19333.500,26
Mobile,32800,34481.000,26
Tablet,17500,20624.500,26
Desktop,42400,42515.000,25
Tablet,17400,21322.000,25
Mobile,41400,42651.000,25
Tablet,15900,20450.000,25
Mobile,31400,36162.000,25
Tablet,16400,19599.000,25
Tablet,19100,21361.000,25
Desktop,35500,36078.000,25
Desktop,31500,33706.000,25
Desktop,36300,39967.000,25
Desktop,37300,39007.000,25
Mobile,36700,42369.000,25
Desktop,32000,34953.000,25
